open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1.842,1.842,1.806,1.806,708913360,159915.SZ,2024-01-02,NA,NA,CNY
1.802,1.809,1.778,1.787,788716184,159915.SZ,2024-01-03,NA,NA,CNY
1.783,1.786,1.748,1.754,1075385099,159915.SZ,2024-01-04,NA,NA,CNY
1.751,1.768,1.72,1.728,1180603065,159915.SZ,2024-01-05,NA,NA,CNY
1.724,1.734,1.698,1.699,1242198954,159915.SZ,2024-01-08,NA,NA,CNY
1.702,1.729,1.691,1.706,1256151656,159915.SZ,2024-01-09,NA,NA,CNY
1.696,1.726,1.681,1.698,1106678416,159915.SZ,2024-01-10,NA,NA,CNY
1.694,1.744,1.694,1.732,1370393609,159915.SZ,2024-01-11,NA,NA,CNY
1.722,1.739,1.713,1.714,1012545700,159915.SZ,2024-01-12,NA,NA,CNY
1.702,1.72,1.692,1.698,851791011,159915.SZ,2024-01-15,NA,NA,CNY
1.692,1.709,1.679,1.708,1284760475,159915.SZ,2024-01-16,NA,NA,CNY
1.7,1.7,1.653,1.656,1265337918,159915.SZ,2024-01-17,NA,NA,CNY
1.643,1.69,1.635,1.683,1688088523,159915.SZ,2024-01-18,NA,NA,CNY
1.675,1.697,1.669,1.669,1486453132,159915.SZ,2024-01-19,NA,NA,CNY
1.663,1.67,1.612,1.623,1302284360,159915.SZ,2024-01-22,NA,NA,CNY
1.62,1.656,1.612,1.642,1408814153,159915.SZ,2024-01-23,NA,NA,CNY
1.65,1.657,1.599,1.65,1502149290,159915.SZ,2024-01-24,NA,NA,CNY
1.641,1.676,1.628,1.675,1785198899,159915.SZ,2024-01-25,NA,NA,CNY
1.665,1.67,1.633,1.637,1396533540,159915.SZ,2024-01-26,NA,NA,CNY
1.638,1.643,1.58,1.58,1686528696,159915.SZ,2024-01-29,NA,NA,CNY
1.57,1.589,1.541,1.544,1595555816,159915.SZ,2024-01-30,NA,NA,CNY
1.544,1.56,1.53,1.533,1866133206,159915.SZ,2024-01-31,NA,NA,CNY
1.527,1.574,1.522,1.548,1981325768,159915.SZ,2024-02-01,NA,NA,CNY
1.546,1.554,1.471,1.508,2553627718,159915.SZ,2024-02-02,NA,NA,CNY
1.491,1.56,1.444,1.527,6284794220,159915.SZ,2024-02-05,NA,NA,CNY
1.508,1.624,1.502,1.623,3688075091,159915.SZ,2024-02-06,NA,NA,CNY
1.622,1.666,1.614,1.66,4361891060,159915.SZ,2024-02-07,NA,NA,CNY
1.67,1.718,1.669,1.681,2560367620,159915.SZ,2024-02-08,NA,NA,CNY
1.704,1.707,1.675,1.697,2281919883,159915.SZ,2024-02-19,NA,NA,CNY
1.688,1.701,1.676,1.696,1332943721,159915.SZ,2024-02-20,NA,NA,CNY
1.681,1.736,1.676,1.703,1237167433,159915.SZ,2024-02-21,NA,NA,CNY
1.7,1.714,1.694,1.71,960793958,159915.SZ,2024-02-22,NA,NA,CNY
1.717,1.719,1.695,1.709,839875547,159915.SZ,2024-02-23,NA,NA,CNY
