date,contract,max_pain,hs300_price,price_date
2025-02-28,IO2503,3900,3890.0487,2025-02-28
2025-04-11,IO2504,3800,3750.5167,2025-04-11
2025-05-23,IO2506,3900,3882.2741,2025-05-23
2025-06-20,IO2507,3900,3846.6443,2025-06-20
2025-10-24,IO2511,4550,4660.6835,2025-10-24
2025-11-21,IO2512,4500,4453.6076,2025-11-21
2025-12-05,IO2512,4500,4584.5368,2025-12-05
2025-12-12,IO2512,4500,4580.95,2025-12-12
2026-01-16,IO2602,4700,4731.8728,2026-01-16
2026-01-23,IO2602,4700,4702.4966,2026-01-23
2026-02-06,IO2602,4700,4643.5959,2026-02-06
2026-03-13,IO2603,4650,4669.14,2026-03-13
