open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3931.8155,3934.2034,3796.3389,3820.3952,217898724,000300.SH,2025-01-02,NA,NA,CNY
3825.2426,3835.9353,3767.6653,3775.1648,175342676,000300.SH,2025-01-03,NA,NA,CNY
3775.9902,3788.8489,3743.0727,3768.9697,150946670,000300.SH,2025-01-06,NA,NA,CNY
3760.866,3797.602,3749.0581,3796.1055,146455779,000300.SH,2025-01-07,NA,NA,CNY
3781.261,3810.7355,3731.1887,3789.2153,169166968,000300.SH,2025-01-08,NA,NA,CNY
3780.7341,3795.2608,3768.681,3779.8773,129794002,000300.SH,2025-01-09,NA,NA,CNY
3778.8928,3786.8069,3732.4806,3732.4806,137523171,000300.SH,2025-01-10,NA,NA,CNY
3704.4442,3737.8852,3704.1073,3722.513,136446199,000300.SH,2025-01-13,NA,NA,CNY
3728.5561,3826.6399,3718.8768,3820.5395,170664657,000300.SH,2025-01-14,NA,NA,CNY
3810.0353,3816.8284,3790.1655,3796.026,141475520,000300.SH,2025-01-15,NA,NA,CNY
3812.1935,3842.947,3776.2861,3800.3836,144505871,000300.SH,2025-01-16,NA,NA,CNY
3788.3729,3831.6404,3780.2133,3812.3429,126621961,000300.SH,2025-01-17,NA,NA,CNY
3835.3042,3858.6677,3821.9815,3829.6764,139581277,000300.SH,2025-01-20,NA,NA,CNY
3850.3563,3850.9106,3817.1214,3832.6145,141218406,000300.SH,2025-01-21,NA,NA,CNY
3823.9447,3823.9447,3783.1438,3797.0166,137255062,000300.SH,2025-01-22,NA,NA,CNY
3829.0462,3864.2585,3801.8531,3803.7439,180569551,000300.SH,2025-01-23,NA,NA,CNY
3793.8498,3847.6003,3793.4836,3832.8637,148971722,000300.SH,2025-01-24,NA,NA,CNY
3836.9578,3851.9969,3817.0802,3817.0802,146670772,000300.SH,2025-01-27,NA,NA,CNY
3844.6998,3844.6998,3785.162,3795.0848,157168308,000300.SH,2025-02-05,NA,NA,CNY
3789.6086,3843.4942,3788.3196,3842.8314,167288176,000300.SH,2025-02-06,NA,NA,CNY
3844.0574,3919.3499,3833.8685,3892.7028,221857707,000300.SH,2025-02-07,NA,NA,CNY
3898.1023,3906.3678,3878.8314,3901.0618,188903040,000300.SH,2025-02-10,NA,NA,CNY
3905.1594,3905.1594,3872.9087,3883.1352,166574909,000300.SH,2025-02-11,NA,NA,CNY
