Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2024-06-11T04:00:00.000Z,134.3774548271,134.9037619744,130.8621037143,134.129196167,14125000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-12T04:00:00.000Z,137.5451897665,140.7229119796,135.8768992419,139.7695922852,16973600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-13T04:00:00.000Z,141.7953914542,143.2154386871,139.2830153483,142.1429595947,16312900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-14T04:00:00.000Z,140.8122732298,141.4974693526,138.6772402954,140.3753356934,14028500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-17T04:00:00.000Z,144.5659653283,147.7138828968,141.1499242003,146.8002929688,23909000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-18T04:00:00.000Z,150.6830385124,156.4426256506,150.4546297009,152.3811187744,42192600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-20T04:00:00.000Z,155.9163320781,156.3135549459,141.9145555558,143.1856384277,41285000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-21T04:00:00.000Z,136.6911740818,141.6067063034,134.7547601034,138.5680084229,49893500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-24T04:00:00.000Z,141.4478180377,141.8351008358,136.9295086253,138.0417022705,32410100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-25T04:00:00.000Z,139.094364967,140.1469792283,136.7905174008,140.1370391846,31160600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-26T04:00:00.000Z,142.0436491355,143.0664886175,138.5680283629,141.3683929443,55490300,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-27T04:00:00.000Z,134.8441606868,136.4330220963,130.1669762402,131.3089599609,68172700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-06-28T04:00:00.000Z,131.8948381875,134.4767185733,129.8392496766,130.6138153076,38140600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-07-01T04:00:00.000Z,129.5910128381,131.1600092946,126.3835078074,130.6039123535,24749000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-07-02T04:00:00.000Z,129.0051325912,131.7856325893,128.5185401669,131.6664581299,20776000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2024-07-03T04:00:00.000Z,131.7359471365,135.866973877,131.5075383147,135.866973877,14507100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
